singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Foolproof perfect cider","https://beerrecipes.org/Recipe/1346/foolproof-perfect-cider.html","Beer Style: Common Cider (27A)

Recipe Type: other

Yield: 5 US gallons","Source:
Michael Phillips","5.0 stars based on 3 votes

1 reviews, Read the reviews","Five gallons fresh apple cider - no preservatives","Five 12-ounce cans frozen 100% apple juice concentrate (thawed)","Two teaspoons yeast nutrient","One package Red Star Pasteur Champagne yeast","(more frozen apple juice concentrate for bottling)","null","null","null","null","null","null","null","First, let me say that fresh apple cider (unless you press it yourself) is almost *always* pasteurized, usually by ultraviolet light. So I see no real need for boiling anything, which keeps you from setting the pectin in the juice such that it will never clear. I've never once had a problem with wild yeast or bacterial contamination. 



Just pour the fresh cider, thawed concentrate, and yeast nutrient into a sterile primary fermentation bucket, agitate for oxygenation, then pitch yeast according to package directions. Seal and add airlock. Wait til noticeable fermentation stops - usually around a week. The champagne yeast will clean out residual sugar til it's just about at 1.000. 



At that point, siphon off to another container. The cider will be around 8% ABV, but it will be very thin and way too dry. Use more thawed apple juice concentrate to sweeten it up and prime it. I typically use another 5-6 cans. This will give it a good balance of sweetness while preserving the unadulterated apple flavor. No secondary fermentation necessary.



I bottle it immediately and allow it to carbonate at room temperature. Time varies. Easy trick to knowing when it's ready is to bottle at least some of it in one or more sterile recycled plastic soda bottles. When they're as hard as an unopened soda from the store, the whole batch is carbonated and ready to drink. There will be quite a bit of residual sugar, so refrigeration *is* necessary unless you pasteurize it. Three days in the fridge and it will clarify quite nicely. I've not yet ever had any last long enough to worry about lingering fermentation bursting a bottle :)"
"Cider 2","https://beerrecipes.org/Recipe/918/cider-2.html","Beer Style: Common Cider (27A)

Recipe Type: other

Yield: 5 US gallons","Source:
Arne Thormodsen","5.0 stars based on 1 votes

No reviews","2 gallons unfiltered unpreserved apple juice (mainly gravenstein)","2 lbs honey, thinned with a little boiling water","1 Tsp di-ammonium phosphate","Poured onto yeast cake from an ale secondary , Coopers yeast","null","null","null","null","null","null","null","null","With this huge amount of yeast the fermentation took off like a bomb. If you use the yeast from the package (Coopers is a dry yeast) you might want to use a couple or three. With no sulfites in this recipe I was afraid that if I didn't start with enough yeast a wild one might take over. When it was done primed it with 1/2 cup honey and bottled like beer."
"Ruby IPA","https://beerrecipes.org/Recipe/1224/ruby-ipa.html","Beer Style: Old Ale (19A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.053
 Final Gravity: 1.01
 Alcohol by Vol: 5.63%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","2.6kg Maris otter pale malt","300g 60L Crystal malt","100g 120L Crystal malt","125g Chocolate malt","100g Amber malt","80g Sucrose","45g Fuggles (60min)","25g East Kent Goldings (15min)","Safale-04","null","null","null","This is a 5-gallon batch. Mash in 5 quarts 132 degrees (140 degree strike heat). Adjust mash pH to 5.3. Boost temperature to 150 degrees. Mash 2 hours, maintaining temperature at 146-152 degrees. Mash out 5 minutes at 168 degrees. Sparge with 2 gallons of 165 degree water. Boil 90 minutes, adding hops in last hour. Add finishing hops 5 minutes before end of boil. Ferment at 20 degrees celcius."
"Lemon Melomel","https://beerrecipes.org/Recipe/874/lemon-melomel.html","Beer Style: Other Fruit Melomel (25C)

Recipe Type: other

Yield: 5 US gallons","null","5.0 stars based on 1 votes

No reviews","1.2 L lemon juice (43 fl oz)","900g mixed honey (2 lb)","Yeast nutrient","15g tartaric acid (0.5oz.)","Yeast (I can't remember what yeast I used, but it was possibly a bordeaux yeast.)","null","null","null","null","null","null","null","null"
"Garbage Bag Porter","https://beerrecipes.org/Recipe/2245/garbage-bag-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: partial mash

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","12.0 oz - Caraamber (30.0 SRM) (Grain)","12.0 oz - Munich Malt (9.0 SRM) (Grain)","8.0 oz - Briess Carmel Malt 80L (81.0 SRM) (Grain)","8.0 oz - Caramel Malt - 40L (Briess) (40.0 SRM) (Grain)","4.0 oz - Black (Patent) Malt (500.0 SRM) (Grain)","4.0 oz - Chocolate Malt (450.0 SRM) (Grain)","1 lbs - Molasses (80.0 SRM) (Grain)","5 lbs - Amber Dry Extract (12.5 SRM) (Grain)","2 lbs 12.0 oz - Extra Light Dry Extract (3.0 SRM) (Grain)","1 lbs - Dark Dry Extract (17.5 SRM) (Grain)","3.5 oz - Saazer [4.6%] - Boil 90 min (Hops)","0.9 oz - Saazer [4.6%] - Boil 5 min (Hops)","null"
"Drunken Mounty - Maple Whiskey Brown Ale","https://beerrecipes.org/Recipe/7938/drunken-mounty-maple-whiskey-brown-ale.html","Beer Style: American Brown Ale (10C)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.051 (12.6° P)
 Final Gravity: 1.012 SG (3.1° P)
 Alcohol by Vol: 5.1%
 Color SRM: 30.2  Color Sample 
 Bitterness IBU: 28.5
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","1 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","9.6 oz - Chocolate Malt (450.0 SRM) (Grain)","2 lbs - Light Dry Extract (8.0 SRM) (Grain)","3 lbs 4.8 oz - Pale Liquid Extract (8.0 SRM) (Grain)","1.0 oz - Goldings, East Kent [5.0%] - Boil 60 min (Hops)","1.0 oz - Goldings, East Kent [5.0%] - Boil 30 min (Hops)","0.5 oz - Goldings, B.C. [5.0%] - Steep 15 min (Hops)","1 pkgs - English Ale (White Labs #WLP002) (Yeast)","1 lbs 6.4 oz - Maple Syrup (35.0 SRM) (Grain)","null","null","null","null"
"paques noire satanique","https://beerrecipes.org/Recipe/8572/paques-noire-satanique.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 12.15 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","30 lbs 13.8 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","2 lbs 12.1 oz - Chocolate Malt (450.0 SRM) (Grain)","2 lbs 3.3 oz - Amber Malt (40.0 SRM) (Grain)","2 lbs 3.3 oz - Special B Malt (180.0 SRM) (Grain)","8.8 oz - Black (Patent) Malt (450.0 SRM) (Grain)","5.3 oz - Northern Brewer [9.0%] - Boil 60 min (Hops)","1.8 oz - Northern Brewer [9.0%] - Boil 10 min (Hops)","1 pkgs - London Ale Yeast (Wyeast Labs #1028) (Yeast)","null","null","null","null","null"
"Yasamen IPA","https://beerrecipes.org/Recipe/3220/yasamen-ipa.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 11 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","2.00 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc)","23 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs - Munich Malt (9.0 SRM) (Grain)","12.0 oz - CaraHell (10.0 SRM) (Grain)","12.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","3.0 oz - Northern Brewer [8.5%] - Boil 60 min (Hops)","1.00 tsp - Irish Moss (Boil 10 min) (Misc)","3.00 oz - Jasmine tea (Boil 10 min) (Misc)","3.0 oz - Glacier [5.6%] - Steep 2 min (Hops)","1.0 oz - Amarillo Gold [8.5%] - Steep 0 min (Hops)","1.00 oz - Jasmine tea (Boil 0 min) (Misc)","2 pkgs - California Ale (White Labs #WLP001) (Yeast)","null"
"LCB Triple","https://beerrecipes.org/Recipe/2409/lcb-triple.html","Beer Style: Belgian Tripel (18C)

Recipe Type: all-grain

Yield: 5.28 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","12 lbs 9.1 oz - Pilsner (2 Row) Ger (2.0 SRM) (Grain)","5.3 oz - WE Amber 45 (22.3 SRM) (Grain)","3.5 oz - Carabelge (Weyermann) (6.9 SRM) (Grain)","1 lbs 8.7 oz - Cane (Beet) Sugar (0.0 SRM) (Grain)","0.2 oz - Magnum [14.0%] - Boil 90 min (Hops)","1.8 oz - Tettnang [4.1%] - Boil 20 min (Hops)","1.2 oz - Fuggles [3.2%] - Boil 10 min (Hops)","1 pkgs - Trappist Ale (White Labs #WLP500) (Yeast)","null","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Arrogant Spicy Sermon (ASS) 32p/bt","https://beerrecipes.org/Recipe/7869/arrogant-spicy-sermon-ass-32p-bt.html","Beer Style: Belgian Dark Strong Ale (18E)

Recipe Type: all-grain

Yield: 10.57 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","13 lbs 3.6 oz - Pilsner (2 Row) Bel, Barley Malt (1.5 SRM) (Grain)","11 lbs 0.4 oz - Pale Malt (2 Row) Bel (3.6 SRM) (Grain)","6 lbs 9.8 oz - CaraBelg (17.8 SRM) (Grain)","1 lbs 13.0 oz - Munich Malt (7.6 SRM) (Grain)","8.8 oz - Chocolate Malt (450.0 SRM) (Grain)","8.8 oz - Candi Sugar, Clear (0.5 SRM) (Grain)","2.4 oz - Northern Brewer [8.5%] - Boil 60 min (Hops)","30.00 g - Coriander Seed (Boil 5 min) (Misc)","20.00 g - Cinnamon Stick (Boil 5 min) (Misc)","1.5 oz - Hallertauer [4.8%] - Steep 20 min (Hops)","1.5 oz - Styrian Goldings [5.4%] - Steep 20 min (Hops)","1 pkgs - Belgian Abbey II (Wyeast Labs #1762) (Yeast)","null"
"Simple Cyser","https://beerrecipes.org/Recipe/830/simple-cyser.html","Beer Style: Cyser (25A)

Recipe Type: other

Yield: 5 US gallons","Source:
Chuck Cox","5.0 stars based on 1 votes

No reviews","10 pounds clover honey","10 pounds wildflower honey","5 gallons cider","6 campden tablets","ale yeast","null","null","null","null","null","null","null","My standard procedure: 



Mix everything except the yeast.

Let sit in loosely covered fermenter for 24 hours.

Add yeast.

Rack to secondary when fermentation slows.

Rack to keg when still.

Force carbonate if desired.

Condition for as long as you can stand it.

Drink liberally.

Fall over."
"American Pale ale EXP #1","https://beerrecipes.org/Recipe/8004/american-pale-ale-exp-1.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","10 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","0.5 oz - Millenium [15.9%] - Boil 60 min (Hops)","0.5 oz - Nugget [14.8%] - Boil 30 min (Hops)","1.0 oz - Warrior [18.4%] - Boil 10 min (Hops)","1 pkgs - California Ale (White Labs #WLP001) (Yeast)","null","null","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Maple Wine and Traditional Mead","https://beerrecipes.org/Recipe/821/maple-wine-and-traditional-mead.html","Beer Style: Open Category Mead (26C)

Recipe Type: other

Yield: 5 US gallons","Original Gravity: 1.120---1.130
 Final Gravity: 1.015---1.030
 Alcohol by Vol: 13.75%
 Recipe Type: other
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","8-9 quarts, maple syrup or about 5--1/2 quarts, honey","5 teaspoons, yeast nutrient","15 grams (1 pack), champagne or any white wine yeast","null","null","null","null","null","null","null","null","null","Hydrate the yeast in warm water and dissolve the yeast nutrient in hot water. Mix the maple syrup or honey with cold water in a large open container to almost 5 gallons at your target specific gravity. Splash or spray the water to oxygenate the must so that the yeast can multiply rapidly. 



Pitch the dissolved yeast and yeast nutrient, dregs included, into a glass carboy. Then splash in the must and slosh around until well mixed, oxygenated, and full. 



Use a blow off tube for the first few days and then switch to a water trap. After about 60 days, when the maple wine is crystal clear and you can shine a flashlight beam right thru the carboy onto the wall, bottle your maple wine. It is ready to drink immediately. Make some for Christmas! 



I always use yeast nutrient and plenty of yeast for starter, so the fermentation takes off with a bang and the rapidly rising alcohol content quickly kills anything else. For this reason I have never heated the maple syrup or honey, and have had no problems with contamination."
"One Hop at a Time Citra","https://beerrecipes.org/Recipe/2168/one-hop-at-a-time-citra.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5.18 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","7.25 gal - Adjusted Nashville (Water)","5 lbs 3.4 oz - Rahr 2-row (1.8 SRM) (Grain)","2 lbs 9.7 oz - Weyerman Dark Munich (9.0 SRM) (Grain)","2 lbs 1.4 oz - Weyerman Vienna Malt (3.0 SRM) (Grain)","8.3 oz - Weyermena Light Wheat Malt (1.5 SRM) (Grain)","2.0 oz - Acidulated (Weyermann) (1.8 SRM) (Grain)","0.5 oz - Citra [14.5%] - First Wort (Hops)","1.04 - Whirlfloc Tablet (Boil 15 min) (Misc)","0.5 oz - Citra [14.5%] - Boil 15 min (Hops)","0.5 oz - Citra [14.5%] - Boil 10 min (Hops)","1.04 tsp - Yeast Nutrient (Boil 10 min) (Misc)","0.5 oz - Citra [14.5%] - Boil 5 min (Hops)","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Jalapeno ale","https://beerrecipes.org/Recipe/1295/jalapeno-ale.html","Beer Style: Cream Ale (6A)

Recipe Type: partial mash

Yield: 5 US gallons","Final Gravity: 1.014
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","5.0 stars based on 3 votes

No reviews","rarh 2 row malt 1 pound","flaked rice 1 pound","Northern Brewers Gold Malt extract LME 6 pounds","1 oz amarillo hops in the boil for 60 min","1 oz liberty hops in the boil for 15 min","3 Jalapenos(split long with seeds removed) added in on the last 5 min of boil","Wyeast American Wheat Yeast","null","null","null","null","null","Grains are steeped at 155-165 F for 20 minutes. Leave the jalapenos in for the primary but remove when transferring to the secondary."
"Smoke Screen","https://beerrecipes.org/Recipe/3747/smoke-screen.html","Beer Style: Classic Rauchbier (22A)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","6 lbs 14.4 oz - Smoked Malt (9.0 SRM) (Grain)","1 lbs 1.6 oz - Pilsner (2 Row) Ger (2.0 SRM) (Grain)","1 lbs - Munich Malt - 20L (20.0 SRM) (Grain)","11.2 oz - Caravienne Malt (22.0 SRM) (Grain)","1.6 oz - Carafa II (412.0 SRM) (Grain)","2.0 oz - Tettnang [4.0%] - Boil 60 min (Hops)","0.50 tsp - Yeast Nutrient (Boil 15 min) (Misc)","0.3 oz - Tettnang [4.0%] - Boil 5 min (Hops)","1 pkgs - Octoberfest Lager Blend (Wyeast Labs #2633) (Yeast)","null","null","null","null"
"Rocky Raccoon","https://beerrecipes.org/Recipe/1083/rocky-raccoon.html","Beer Style: Standard American Lager (1B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.055
 Final Gravity: 1.006
 Alcohol by Vol: 6.41%
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","3lbs extra lite dry malt extract","3 lbs honey","2oz saaz hops","2007 pilsener yeast","null","null","null","null","null","null","null","null","boil ingredients for 1hr save half oz of hops for last 5 minutes of boil"
"I'm Back","https://beerrecipes.org/Recipe/2609/im-back.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 11 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","22 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","2 lbs - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain)","2 lbs - Wheat Malt, Bel (2.0 SRM) (Grain)","1 lbs - Cara-Pils/Dextrine (2.0 SRM) (Grain)","2 lbs - Sugar, Table (Sucrose) (1.0 SRM) (Grain)","4.0 oz - Amarillo Gold [8.5%] - Boil 60 min (Hops)","1.0 oz - Amarillo Gold [8.5%] - Boil 20 min (Hops)","1.0 oz - Cascade [5.5%] - Boil 20 min (Hops)","1.0 oz - Citra [12.0%] - Boil 20 min (Hops)","1.0 oz - Columbus (Tomahawk) [14.0%] - Boil 20 min (Hops)","1.0 oz - Simcoe [13.0%] - Boil 20 min (Hops)","1.0 oz - Summit [17.0%] - Boil 20 min (Hops)","null"
"Tasty APA","https://beerrecipes.org/Recipe/1581/tasty-apa.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 6 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","8 lbs - Brewers Malt 2-Row (Briess) (1.8 SRM) (Grain)","3 lbs - Pilsen Malt 2-Row (Briess) (1.0 SRM) (Grain)","1 lbs - Carapils (Briess) (1.5 SRM) (Grain)","8.0 oz - Caramel Malt - 40L (Briess) (40.0 SRM) (Grain)","8.0 oz - Wheat - White Malt (Briess) (2.3 SRM) (Grain)","0.2 oz - Chinook [13.0%] - Mash Hop (Hops)","0.2 oz - Warrior [15.6%] - Boil 60 min (Hops)","0.2 oz - Simcoe [12.0%] - Boil 20 min (Hops)","0.2 oz - Columbus (Tomahawk) [14.0%] - Boil 10 min (Hops)","0.2 oz - Northern Brewer [9.0%] - Boil 10 min (Hops)","0.2 oz - Centennial [9.2%] - Boil 1 min (Hops)","0.2 oz - Simcoe [12.0%] - Boil 1 min (Hops)","null"
"MW Oldcastle","https://beerrecipes.org/Recipe/2246/mw-oldcastle.html","Beer Style: Northern English Brown Ale (11C)

Recipe Type: all-grain

Yield: 11 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","2.20 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc)","18 lbs - Pale Malt (2 Row) UK (3.0 SRM) (Grain)","1 lbs 7.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","6.1 oz - Chocolate Malt (450.0 SRM) (Grain)","2.0 oz - Challenger [7.2%] - Boil 60 min (Hops)","0.55 tsp - Irish Moss (Boil 10 min) (Misc)","1.0 oz - Goldings, East Kent [5.2%] - Steep 2 min (Hops)","1 pkgs - British Ale (White Labs #WLP005) (Yeast)","null","null","null","null","null"
"Raspberry Ale","https://beerrecipes.org/Recipe/594/raspberry-ale.html","Beer Style: Fruit Beer (20A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Michael Yandrasits","5.0 stars based on 2 votes

No reviews","2 cans, Alexanders pale malt extract","2 pounds, rice extract syrup","1 ounce, Cascades hops","8 pounds, frozen raspberries","Edme ale yeast","null","null","null","null","null","null","null","I used about 8 lbs (11 12oz pkgs) and it turned out wonderfully, not at all overly raspberry-like. I blended them with just enough water to make a slurry and added it to the cooled wort (seeds, skins and all). I also added 2 campden tablets to ward off infection. It seems to have worked. No pectin haze at all. I racked into a secondary and left most of the raspberry sludge behind."
"Rockys IPA 5g","https://beerrecipes.org/Recipe/8082/rockys-ipa-5g.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.065 (15.7° P)
 Final Gravity: 1.013 SG (3.4° P)
 Alcohol by Vol: 6.8%
 Color SRM: 5.9  Color Sample 
 Bitterness IBU: 89.7
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","12 lbs - American Pale Malt (2-Row) (3.0 SRM) (Grain)","1 lbs - Crystal Malt 60L (3.0 SRM) (Grain)","1.3 oz - Chinook [13.0%] - Boil 60 min (Hops)","0.4 oz - Chinook [13.0%] - Boil 30 min (Hops)","0.00 kg - Irish Moss (Boil 10 min) (Misc)","1.0 oz - Cascade [5.5%] - Boil 0 min (Hops)","0 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","0.5 oz - Cascade [5.5%] - Dry Hop 3 days (Hops)","0.5 oz - Centennial [10.0%] - Dry Hop 3 days (Hops)","null","null","null","null"
"Humble Imperial Stout","https://beerrecipes.org/Recipe/1215/humble-imperial-stout.html","Beer Style: Russian Imperial Stout (13F)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.085 SG
 Final Gravity: 1.019 SG
 Alcohol by Vol: 8.64%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

No reviews","14 lbs 8.0 oz Pale Malt, Maris Otter (3.0 SRM)","1 lbs Caramel/Crystal Malt - 60L (60.0 SRM)","8.0 oz Black (Patent) Malt (500.0 SRM)","8.0 oz Roasted Barley (300.0 SRM)","2.00 oz Chinook [13.00 %] (60 min)","8.0 oz Turbinado (10.0 SRM)","1 Pkgs London Ale (White Labs #WLP013) w/750ml yeast starter or double pitch","null","null","null","null","null","Mash In Add 20.63 qt of water at 170.5 F for 45 - 60 min at 158.0 F 

Mash Out Add 8.25 qt of water at 196.6 F for 10 - 15 min at 168.0 F"
"Emma Wedgewood's Winter Welcome","https://beerrecipes.org/Recipe/546/emma-wedgewoods-winter-welcome.html","Beer Style: Christmas/Winter Specialty Spiced Beer (21B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.072
 Final Gravity: 1.022
 Alcohol by Vol: 6%
 Bitterness IBU: 58
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

No reviews","7.5 lbs British Pale DME","1.0 lb Pale Crystal (40L)","2 oz Roast Barley","1 lb Clover Honey","2 oz Malto-dextrin powder","1.0 oz Fuggle plugs (4.3%) (boil)","1.25 oz Bullion pellets (9%) (boil)","0.75 oz E. Kent Golding pellets (5.4%) (flavor)","0.25 oz Bullion pellets (flavor)","0.5 oz E. Hallertauer pellets (4.7%) (aroma)","0.75 oz E. Kent Golding pellets (dry hopped)","ale yeast (I used Mendocino from a bottle of ""Eye of the Hawk""","Boil was about 3 gallons with extract, grain broth, honey and maltose. Pitched @ 76 F (used an immersion chiller). Initial fermentation was very fast - within only 3 days the krausen had fallen and within 5 days there was almost no bubbling from the airlock. Racked to secondary and dry hopped. Secondary was very slow, and took 3 weeks to stabilize SG. I had heard that Mendocino yeast is not a great attenuator, and also the English DME finishes higher than American, but this is only 69% apparent attenuation. This gives an actual attenuation of 57%. Wow! 



I was originally going to prime with gyle but there were too many variables on this one so I chickened out and primed with corn sugar -- at this point I didn't want to risk screwing up my Christmas beer, and such a great one at that. [Next time Spencer, I promise!] Primed for a total of 2.2 volumes CO2 using 3.5 oz corn sugar. 



*Note: The hopping above gives the following IBU's based on different calculation methods: (1) SudsW 43.2,(2) Rager 75.7, (3) Tinseth 66.9, (4) Garetz 56.7, (5) Papazian 58.9 O.G. 1.072, F.G. 1.022 (Approx. 6% alcohol)"
"BCS Janet's Brown","https://beerrecipes.org/Recipe/2923/bcs-janets-brown.html","Beer Style: American Brown Ale (10C)

Recipe Type: all-grain

Yield: 5.25 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","16.00 g - Gypsum (Calcium Sulfate) (Mash 15 min) (Misc)","12 lbs - Brewers Malt 2-Row (1.8 SRM) (Grain)","1 lbs 4.0 oz - Carapils (Briess) (2.0 SRM) (Grain)","1 lbs 4.0 oz - Crystal Malt - 40L (40.0 SRM) (Grain)","1 lbs - Dark Wheat Malt (6.5 SRM) (Grain)","8.0 oz - Chocolate Dark (450.0 SRM) (Grain)","1.0 oz - Northern Brewer [9.6%] - Mash Hop (Hops)","1.0 oz - Northern Brewer [9.6%] - Boil 60 min (Hops)","1.10 - Whirlfloc Tablet (Boil 15 min) (Misc)","1.0 oz - Northern Brewer [9.6%] - Boil 15 min (Hops)","0.50 tsp - Yeast Nutrient (Boil 15 min) (Misc)","1.5 oz - Cascade [5.0%] - Boil 10 min (Hops)","null"
"Slightly Stupid Spiced Vanilla Stout","https://beerrecipes.org/Recipe/1226/slightly-stupid-spiced-vanilla-stout.html","Beer Style: Dry Stout (13A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.067
 Final Gravity: 1.017
 Alcohol by Vol: 6.55%
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 5 votes

1 reviews, Read the reviews","7.75# Light Malt Extract","1.00# Dark Brown Sugar","0.75# crystal malt 120 lovi","1.00# chocolate malt","0.50# black patent","0.50# roasted barley","1 oz Northern Brewer AA 9.8%","1 oz Fuggles AA 3.6%","4.2 oz Dextrin","2 Vanilla beans","1/4 tsp cinnamon","1/4 tsp nutmeg","Steep grains at 155-158 degrees for 30 minutes. Sparge with 1 gal 170 degree water. Discard grains. Bring to boil. Add 1/2 oz N. Brewer at 60, 1/2 oz N Brewer at 45 along with 1 split and scraped vanilla bean, insides and all. Start adding LME and DBS. Bring to boil. At 30 mins add 2.1 oz Dextrin, all spices, and 1/2 oz of Fuggles. Continue adding LME and DBS. Bring to boil. at 15 mins add 1/4 tsp irish moss, other vanilla bean, most of remaining LME and DBS. Bring to boil. Add remaining 2.1 oz dextrin, rest of LME and DBS at 4. Last 1/2 oz of Fuggles at 2 mins remaining. Cool wort. Pitch yeast and wait =)."
"Gorgeous George","https://beerrecipes.org/Recipe/987/gorgeous-george.html","Beer Style: Mild (11A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Ian Birnbaum","5.0 stars based on 1 votes

No reviews","1/2 lb. Paul's Best Mild Ale Malt (crushed)","1/2 lb. Paul's English 2-Row Pale Malt (crushed)","1 lb. Paul's Crystal Malt (crushed)","6 lbs. amber malt syrup","3 lbs. light honey (2 medium Honey Bears)","1 oz. Fuggles - boiling (60 minutes)","1/2 oz. Willamette - boiling (30 minutes)","1/2 oz. Willamette - finishing (5 minutes)","Wyeast 1098XL ""British Ale""","null","null","null","Brewed using the step-mash method outlined in Dave Miller's brewing guide. Boil for 1 1/2 hours, adding in the different stages of hopps at the appropriate time. I added the honey at the same time as the amber malt syrup, directly after steeping the crushed malts.



Final product should have a honey gold color, sweet honey aroma with a bit of spicy fuggle mixed in."
"Little Ale","https://beerrecipes.org/Recipe/1344/little-ale.html","Beer Style: Belgian Pale Ale (16B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.018
 Final Gravity: 1.010
 Alcohol by Vol: 1.04%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","1 k&quot;g - Pale Malt UK","0.50 k&quot;g - Caramel / Crystal 60L","0.45 k&quot;g - Cara-Pils","0.20 k&quot;g - Vienna Malt","15 g&quot;m - Chinook 13% - 60 min","15 g&quot;m - Chinook 13% - 5 min","15 g&quot;m - Hallertauer 4.8% - 5 min","15 g&quot;m - Willmette 5.5% - 5 min","15 g&quot;m - Willmette 5.5% - 60 min","null","null","null","Mash it in 67c sparg it with 77c and boil it"
